date,job_count
2025-08-14,1
2025-10-28,1
2025-10-30,1
2025-11-03,1
2025-11-17,1
2025-11-21,1
2025-11-24,1
2025-12-05,1
2025-12-10,1
2025-12-11,1
2025-12-16,2
2025-12-26,1
2026-01-07,1
2026-01-15,1
2026-01-16,10
2026-01-19,1
2026-01-20,1
2026-01-22,1
2026-01-27,1
2026-01-30,1
2026-02-02,2
2026-02-03,4
2026-02-10,2
2026-02-11,1
2026-02-12,1
2026-02-13,1
2026-02-16,1
2026-02-18,2
2026-02-20,5
2026-02-23,1
2026-02-24,3
2026-03-03,1
2026-03-04,2
2026-03-05,1
2026-03-06,3
2026-03-09,1
2026-03-10,1
2026-03-11,1
2026-03-12,1
2026-03-13,1
2026-03-18,1
2026-03-19,1
2026-03-23,19
2026-03-24,1
2026-03-25,2
2026-03-27,14
2026-03-30,4
2026-03-31,10
2026-04-01,4
2026-04-06,2
2026-04-07,11
2026-04-08,6
2026-04-09,5
2026-04-10,4
2026-04-13,5
