week,job_count
2025-08-11/2025-08-17,1
2025-10-27/2025-11-02,2
2025-11-03/2025-11-09,1
2025-11-17/2025-11-23,2
2025-11-24/2025-11-30,1
2025-12-01/2025-12-07,1
2025-12-08/2025-12-14,2
2025-12-15/2025-12-21,2
2025-12-22/2025-12-28,1
2026-01-05/2026-01-11,1
2026-01-12/2026-01-18,11
2026-01-19/2026-01-25,3
2026-01-26/2026-02-01,2
2026-02-02/2026-02-08,6
2026-02-09/2026-02-15,5
2026-02-16/2026-02-22,8
2026-02-23/2026-03-01,4
2026-03-02/2026-03-08,7
2026-03-09/2026-03-15,5
2026-03-16/2026-03-22,2
2026-03-23/2026-03-29,36
2026-03-30/2026-04-05,18
2026-04-06/2026-04-12,28
2026-04-13/2026-04-19,5
