id,title,salary_spread
102083,Quantum Calibration Software Developer,99000
79663,Entry Level Product Manager Poughkeepsie NY 2026,98400
103618,Customer Success Engineer Data Security,94000
104291,RF/Microwave Design Engineer,92000
95572,Software Developer Co-Op Fall 2026,90720
91234,Designer Intern 2026,90720
91238,Product Manager Intern 2026,88560
91259,Designer 2026 ELH,80640
91689,Software Developer 2026 ELH,80640
96191,"Entry Level Technical Support Engineer - Austin, Lowell, San Jose,Durham",80640
91272,Product Manager 2026 ELH,78720
84961,AI/ML Engineering internship: SVL,75600
95592,Product Manager Co-op Fall 2026,75030
80255,Data and AI Intern,71760
106260,Entry Level AI-First Transformation - Strategy Consultant,71568
92361,Product Manager 2026 Intern,71280
79672,MBA Summer Intern - AI-First Transformation & Value Creation (NYC and Armonk),70512
94090,Product Manager Intern 2026 - Cambridge,67650
48576,2026 Intern Conversion,64500
73079,Back End Developer Intern 2026,64000
